pflegeareal,area
Tennisanlage Lerchenberg,1974.0749999872185
Schulhaus Altweg,1960.9749999983353
Spielplatz Hardau,1946.9916666569459
Aubruggweg,1940.3350000015673
Velopark Höngg,1920.680000006203
Spielplatz Ziegelhütte,1917.580000003362
Regensdorfer-Terrasse,1905.8799999995206
Allenmoospark,1893.4999999978927
Böschung Kanalstrasse,1857.8100000004727
Bürkliterrasse,1854.5199999994784
Musikschulanlage,1850.9300000035369
Rieterplatz,1847.5550000040023
Spielplatz Muggenbühl,1846.5550000086125
Böschung Glaubtenstrasse,1845.479999988007
Stadelhoferplatz,1840.674999995215
Picknick-Hain Auwis,1836.3750000105938
Raintobelweg,1835.324999992573
Ruderalfläche Looächer,1827.734999995711
Hohenklingenallee,1822.1160648179002
Spielplatz Wasserschöpfi,1817.670000000014
Sportanlage Lachen,1774.6900000134274
Wettingertobel,1767.6950000014226
Triemliplatz,1766.44999999645
Familiengartenareal Waid,1766.305000000265
Mentona-Moser-Anlage,1757.174999998509
Buchegg- Waidegganlage,1748.669114723081
Wiesen Mühlackerstrasse,1710.252500000889
Brache Binzmühlestrasse,1706.0050000041772
Böschung Aubrücke,1682.2799999883796
Im Einfang,1665.4950000024241
Alter FH Leimbach,1647.0650000052087
Zweierplatz,1631.524285724808
Wiedinghof,1600.9024999959008
ZSA Susenberg,1561.8899999939981
Holbrig,1553.839999999655
Böschung Winzerstrasse,1526.925000000815
Brupbacherplatz,1523.0989844069586
Weibelackerweg,1491.4400000014737
Emilie-Kempin-Spyri-Weg,1489.9749999992634
Roswiesenplatz,1477.2027979002767
Biotop Albisgüetli,1471.8099999998672
Haldenanlage,1465.0649999961977
Grünzug Grütlistrasse,1452.5199999925983
Hallenbad Bläsi,1450.0326470485988
Villa Tobler,1448.7277344186587
Böschung Lettenviadukt,1447.3799999947473
Weingarten,1435.2900000002721
Böschung Zwirnerstrasse,1426.570000023844
Basteiplatz,1422.4703095872012
Bändlianlage,1421.3899999952903
Holderbachwiese,1417.6149999852198
Tennisanlage Frohalp,1381.1849999997505
Sika-Areal,1380.3549999908823
Pestalozzianlage,1369.5450000023307
Park Hönggerstrasse,1356.2949999964612
Büngertenpark,1349.2086629446894
Batterieanlage,1345.8149999988057
Grünzug Burstwiesenstrasse,1344.1520000096123
Katzenbachanlage,1342.024032527129
Fischerweg,1326.1099999997632
Hardegganlage,1317.7817468912897
Wildenweg,1311.1000000035042
Kunsteisbahn Oerlikon,1281.0783584797064
Nagelfluhweg,1279.634999995401
Rütschlibach,1269.560339483222
Tennisanlage Hoch-/Siriusstrasse,1238.9650000098536
Lehenanlage,1228.1183226125288
Kürbergsteig,1227.8950000021098
Salomon-Vögelin-Anlage,1218.424999996426
Hardturmsteg (West 3),1217.1500000003493
Grütlianlage,1214.604999994957
Schulhaus Blumenfeld,1140.5399999967683
Grünzug Wildbach,1122.2200000000144
WVZ Pumpwerk Schindlergut,1117.804066266682
Butzenstrasse SZU,1111.195000001969
Binzmühleanlage,1099.4300000022097
Zentralhof,1089.699999997264
Waidbadanlage,1083.1400000036597
Sigi-Feigel-Terrasse,1073.56499999827
Obstanlage Manegg,1072.755000000789
Weinegganlage,1053.9349999986682
Sportanlage temporäre Sporthalle Thurgauerstrasse,1049.31499999664
Hallenbad City,1030.905000000696
Wollishoferplatz,1025.0749999919674
Bahnhof Stadelhofen,1015.5400000084337
Böschung Oscar-Bonomo-Weg,996.6500000106635
Ortsmuseum Altstetten,984.324999999802
Eschenhau,973.8350000018347
Aussichtspunkt Schwarzbach,973.1087880141267
Spielplatz Föhrenwald,972.0799999952246
Familiengartenareal Eierbrecht,971.5900000044749
Neugutplätzli,967.5042502161886
Bertahof,959.2750000010244
Zurlindenhof II,939.2599999993317
Dammstegwiese,938.8250000018977
Hallenbad Bungertwies,937.6899999922746
Alte Kirche Albisrieden,935.0888333370834
Möhrlianlage,933.5800000043629
Zur Rote Buech,919.1099999979231
Zurlindenanlage,914.6450000000024
Bernerstrasse Umgebung,914.1550000047125
Grosse Kirche Fluntern,909.4649999971407
Seeuferbereich Kibag,905.2447013740672
Villa Tobler Wallgelände,904.5650000013784
Grünfläche Lüftungsbauwerk Tierspital,901.6799999993806
Wiese am Tobeleggweg,891.8799999991827
Bachtobler,881.4499999948775
Obere Waidterrasse,875.3415555854685
Max-Högger-Anlage,854.7049999976692
"Im Schaber, Hasenrain",826.0740220226687
Weisshauanlage,810.1300000018254
Ausserdorfanlage,784.9799999972968
Kloster-Fahr-Weg (West 3),778.4449999757987
Klingenhof,771.9400000035437
Wiese an Riedhofstrasse,769.9950000027499
Spielplatz Buchenweg,738.235000000787
Ettenfeld,710.7799999968661
Kettberganlage,704.4749999997439
Spielplatz Sonnegg,698.5599999957112
Untere Zäune,660.7549999973085
Honeggeranlage,660.3650000026938
Utoplatz,658.3349999950593
Böschung Widumweg,653.5744183833438
Obere Gessnerallee,651.4300000081118
Rigiplatz,648.3700000001091
Land an Berghalden-/Loorenstrasse,647.1600490175662
Altstetteranlage,646.4299999974714
Spielplatz Rigiblick,646.3649999965937
Wydlerplatz,642.8300000002654
Tobelegganlage,636.7750000002095
Rousseauanlage,635.130000000312
Im Hofgarten,631.7850000007869
Kibag-Areal II,626.9349999911594
Flussbad Oberer Letten,601.5150000155227
Waidburg,590.7400000043353
Zielackeranlage,583.5949999998395
Park Zeltweg,577.8299999959813
Böschung Buchlernstrasse,570.8149999880611
Spielplatz Irringersteig,567.4200000051013
Leuenplätzli,550.2300000010919
Schöneggplatz,549.7550000010106
Letzigraben,548.0849999972945
Amtsvormundschaft Selnaustrasse,546.6149268309047
Glattbrücke,543.6100000000769
Neumarktplätzli,535.655000002454
Böschung Grossmannstrasse,527.759999998016
Kurhausanlage,509.8450000013062
Stoffelanlage,501.5199999995052
Kurt-Guggenheim-Anlage,501.06000000262634
Bärenbrüggli,499.6850000008103
Veilchenanlage,479.97499999726426
Kartoffelmarkt,477.41166666446486
Burenweg,462.5100000014273
Moussonsanlage,456.76999999836084
Enzenbühlanlage,454.30000000287544
Haldeneggpärkli,452.214999996256
Parkplatz Frohburgstrasse,435.24999999799775
Bauhofanlage,431.73000000075433
Park Bucheggstrasse 31,426.3600000003912
Depotplatz Lessing,405.530000002943
Spielplatz GZ Hottingen,403.9050000001257
Judith-Gessner-Platz,403.3650000018207
"Wipkingen, Postterrasse",401.75000000121076
Grünzug Mythenquai,392.33499999968103
Pocket Park Dammsteg,391.2999999993829
Gessnerallee,376.704999998752
Butzenanlage,376.37999999897323
Trottenanlage,373.8199999989312
Land an Furttalstrasse,373.22999999733173
Albin-Zollinger-Platz,372.00500000399217
Girhaldenanlage,369.7500000009197
Böschung Im Hagacker,365.9449999958929
Wassersportanlage Damen Ruderclub Zürich,348.54185443040643
Wassersportanlage am Wasser Nautischer Club,346.9449999968125
Streuliplatz,344.9200000021444
Wiese Allmannstrasse,342.92000000235385
Belleriveanlage,336.79000000084284
Pocket Park Roter Stein,334.59000000161114
Turneranlage,333.25999999865655
Langmaueranlage,331.1150000013901
Sydefädelianlage,329.85000000008154
Dufouranlage,327.47499999913845
Surfcontainer,319.37499999798604
Mühlesteg Pärkli,318.710000008191
Aegertenplätzli,311.6049999976461
Kürberganlage,309.6500000039581
Bauherrenanlage,306.46500000212336
Susanna-Gossweiler-Platz,294.47500000196743
Thujaplätzli,284.0499999978346
Lettenholzanlage,284.01000000134576
Breitensteinanlage,282.8849999995763
Schlyfi Rank,282.67499999726414
Fröschenbrunnen,274.5100000005774
Freestyle Halle,270.8149999944866
Schipfe,268.8406310709122
Geiserbrunnen,262.9399999976417
"Salzweg, Eichbühl",261.6830434748892
Spielplatz Saumackerstrasse,258.25562499986495
Wiese Im Oberen Boden,255.7200000012247
Böschung Brunaustrasse,253.72499999824208
Katzenbrunnen,243.6050000008823
"Schuppis, Griesenweg",238.68500000349945
Stampfenbrunnenanlage,235.65499999755298
Retentionsbecken Allenmoos,226.27000000051456
Linthescherhof,222.56000000230037
Im Glockenacker,214.39805916603487
Parkplatz Waldegg,214.30499999202326
Rigianlage,211.38000000063795
Sitzplätze Eggpromenade,210.99000000143658
Dreispitz (Nord 1),205.40500000368806
Hardturmsteg (Nord 2),203.22000000016533
Muggenbühl,200.4950000003632
Haldenbachplätzli,195.89500000155064
Brandschenkesteig,193.8700000018766
Mugglihof,192.88500000057743
Fraumünster Kirche,192.22000000074738
Eugen-Huber-Anlage,164.79000000048197
Hadlaubanlage,144.98000000168574
Mutschellenanlage,144.97999999783235
Stampfenbachanlage,136.97500000469222
Kilchberganlage,127.21999999935042
Seestrasse 532 Flurweg,127.21817324259254
Weggebiet RI5088,127.04000000126194
Loorenanlage,126.20499999936905
Himmelsleiterli,123.16500000094763
Titlisanlage,122.53499999970431
Klusweganlage,105.50999999704997
Käshalde,101.49999999774155
Bäulianlage,96.22999999981141
Orsinihaus,90.059999999227
Wunderlianlage,84.73499999972759
Bellariaplatz,80.29500000803498
Weggebiet LE911,76.36999999612573
Hauseranlage,73.52500000031432
Schaffhauserplatz,56.485000000938314
Zelglianlage,45.36999999994412
