"oeffnungsz","gebuehren","standort","kreis","typ","poi_id","kommentar"
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Forchstrasse 396, Zollikon - Endstation VBZ Linie 11","","","wcr068","Multifunktions-, Behinderten-WC, Einziges ZüriWC ausserhalb der Stadtgrenze in Zollikon."
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Lindenhofstrasse 2","1","","wcr013","2 Multifunktions- und ein Behinderten WC, Wickeltisch. An steile Gasse gelegen."
"Behinderten-WC ganzjährig 24 Stunden geöffnet (mit Gebühr oder Eurokey). Multifunktions-WC 24 Stunden, von März bis November.","Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis). Im Winter ist nur das Behinderten WC mit Gebühr oder Eurokey zugänglich.","Waidbadstrasse 153, Spiel- und Grillplatz","10","","wcr083","Zugänglichkeit mit Rollstuhl durch Kies und Rasen erschwert."
"24 h","Gebührenfrei","Werdinsel 10 / Pumpenhaus.","10","","wcr085","Damen- und Herren WC, rollstuhlgängig, Pissoir. Der Weg ins rollstuhlgängige WC führt über einen Absatz."
"24 h","Gebühr Fr. 1.--. Behinderten-WC nur mit Eurokey","Hofwiesenstrasse 377","11","","wcr086","Kombiniertes Damen- und Herren WC im Bahnhof Oerlikon. Stark frequentiert. Behinderten-WC nur mit Eurokey. Ein weiteres WC befindet sich in der neuen Unterführung auf der anderen Seite des Bahnhofs."
"24h","Fr. 1.-- oder Eurokey","Schaffhauserstrasse 503 Endstation VBZ Linie 14.","11","","wcr090","Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch."
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Wehntalerstrasse 539a / Bushaltestelle","11","","wcr091","Multifunktions- und Behinderten WC. "
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Herzogenmühlestrasse 3, Schwamendingerplatz","12","","wcr093","Multifunktions- und Behinderten-WC, Wickeltisch. Das WC liegt direkt am Schwamendingerplatz."
"24 h","Fr. 1.-- oder Eurokey","Usteristrasse 6 / Zwischen Globus, McDonalds und Lottokiosk","1","","wcr097","WC-Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch. "
"24 h","Fr. 1.-- oder Eurokey","Ottikerstrasse 64 / Ecke Cullmannstrasse","6","","wcr098","Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Tür, Wickeltisch."
